display_name,factor,run_id,start_date,end_date,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_cash_weight,annualized_turnover,total_transaction_cost,blocked_buy_orders,blocked_sell_orders
Double-low,double_low,92ee6a2968e0bbc2,2018-01-11,2023-06-21,0.1001482320099991,0.0183742780200708,0.0772095925194731,0.274452644026725,-0.1399764501408268,0.5262247245374432,46.46366325003003,373663.16799,0,103
Same-parity relative premium,relative_premium_to_parity_median,45340f28435271bc,2018-01-11,2023-06-21,-0.080056284565001,-0.0157919074167753,0.0656827099697901,-0.2094865581801208,-0.1907921673385527,0.527906613767698,46.908338908726,336495.074565,0,53
Underlying-stock momentum,stock_return_20d,9b36ec626c9e3480,2018-01-11,2023-06-21,-0.0268317381250005,-0.0051750315382844,0.0804732698342001,-0.024211555296361,-0.1589808225178149,0.5474593447821882,44.88869116864355,345365.308125,0,56
